TimeStep,NumberOfCells
1,91
2,94
3,95
4,93
5,91
6,94
7,90
8,90
9,90
10,90
11,88
12,84
13,88
14,86
15,86
16,86
17,86
18,84
19,85
20,85
21,82
22,88
23,86
24,88
25,88
26,85
27,88
28,90
29,101
30,101
31,98
32,105
33,109
34,120
35,118
36,116
37,112
38,114
39,111
40,112
41,104
42,109
43,116
44,118
45,114
46,124
47,120
48,128
49,131
50,129
51,127
52,128
53,138
54,142
55,155
56,161
57,169
58,188
59,181
60,191
61,182
62,181
63,174
64,186
65,186
66,211
67,221
68,214
69,226
70,229
71,228
72,227
73,240
74,247
75,249
76,252
77,254
78,242
79,248
80,246
81,260
82,280
83,292
84,271
85,290
86,309
87,305
88,301
89,312
90,309
91,313
92,332
93,332
94,340
95,321
96,352
97,344
98,345
99,384
100,393
101,415
102,425
103,413
104,432
105,456
106,454
107,453
108,474
109,448
110,498
111,485
112,468
