lable,NumberOfDivision
9216,0
3,3
4,17
5,0
6,0
7,4
1031,0
9,4
11,0
2574,0
15,5
7696,0
17,6
18,19
9232,0
9231,0
21,15
22,7
7701,0
24,6
25,4
26,35
27,5
28,13
29,0
30,22
31,0
32,12
33,7
34,4
35,10
36,0
7709,0
38,8
39,9
10280,0
41,21
42,13
43,10
44,12
45,1
46,28
47,1
48,1
49,3
50,6
51,12
52,7
2610,0
54,19
55,10
56,19
57,18
58,10
59,0
60,0
61,17
62,0
4668,0
11837,0
65,5
66,5
4675,0
10291,0
69,0
70,5
71,0
72,0
7750,0
8264,0
10307,0
589,0
10322,0
9299,0
4186,0
10843,0
3681,0
9313,0
1639,0
10861,0
6766,0
121,0
10362,0
10882,0
6275,0
8323,0
2182,0
10886,0
136,0
6280,0
4232,0
4235,0
5260,0
7311,0
8339,0
2203,0
10912,0
5795,0
8357,0
10408,0
6313,1
686,0
10421,0
1719,0
8391,0
6856,0
6344,0
7880,0
6347,0
7883,0
10440,0
10967,0
2267,0
10971,0
6878,0
10976,0
4321,0
5857,0
8932,0
10473,0
5868,0
7407,0
8431,0
10796,0
6903,0
4344,0
10999,0
10491,0
6914,0
260,0
6919,0
9479,0
4362,0
6928,0
9489,0
9490,0
10518,0
10519,0
3866,0
4381,0
6941,0
8995,0
3881,2
8489,0
4395,0
2348,0
4908,0
1326,0
6449,0
4405,0
6453,0
1848,0
10554,0
4925,0
4932,0
3915,0
7499,0
4944,0
3415,0
6488,0
7000,0
3930,0
6491,0
2910,0
4447,0
3424,0
4448,0
9054,0
7011,0
10597,0
4456,0
4458,0
4464,0
4978,0
10611,0
6007,0
2937,0
5515,0
7565,0
5676,0
10125,0
1939,0
8086,0
6551,0
8093,0
9126,0
4007,0
8104,0
6570,0
10159,0
8626,0
9651,0
6582,0
1975,0
11197,0
7102,0
5567,0
7104,0
7721,0
6597,0
3530,0
4555,0
6090,0
11725,0
11726,0
9688,0
10271,0
5603,0
7653,0
5606,0
7729,0
2025,0
4585,0
9193,0
11754,0
10221,0
10224,0
4595,0
7167,0
