Time Step,Gold Standard,CellProfiler,DeLTA,FAST,Oufti,SuperSegger
1,2,2,2,2,2,3
2,2,2,2,2,2,3
3,2,2,2,2,2,3
4,2,2,2,2,2,3
5,2,2,2,2,2,3
6,2,2,2,2,2,3
7,2,2,2,2,2,3
8,2,3,2,2,2,4
9,2,3,2,2,2,2
10,2,2,2,2,2,4
11,2,3,2,3,2,4
12,3,3,3,4,3,5
13,4,4,4,4,4,5
14,4,4,4,5,4,5
15,4,4,5,4,4,7
16,6,6,7,6,4,8
17,7,7,8,8,4,8
18,8,8,8,8,6,8
19,8,8,8,8,8,8
20,8,9,8,8,7,7
21,9,9,9,10,7,10
22,11,12,11,12,7,12
23,12,13,12,12,6,12
24,13,14,13,13,8,13
25,14,14,13,14,7,15
26,17,17,17,16,9,16
27,17,17,14,17,9,17
28,19,19,17,17,11,19
29,21,21,18,19,9,21
30,23,22,22,23,8,25
31,24,24,26,25,9,32
