CellId,birth Length,Last Length,AverageLength,AverageOrientation,AverageVelocity,LifeHistory,growth rate
1.0,46.6203384399414,100.990447998047,70.68507766723634,-70.40139988490513,1.115,7.0,0.11
2.0,51.1689491271973,85.6559829711914,62.015892028808594,78.91307322184245,-2.499,6.0,0.086
3.0,46.845874786377,46.845874786377,46.845874786377,73.2717742919922,0.0,1.0,0.0
4.0,84.1272354125977,88.5133972167969,84.76056671142581,-84.7963409423828,1.049,4.0,0.013
5.0,135.870056152344,135.870056152344,135.870056152344,-87.9341888427734,0.0,1.0,0.0
6.0,51.4357490539551,45.9444732666016,44.0056428909302,38.96236419677736,-2.387,4.0,-0.028
7.0,15.2861881256104,15.2861881256104,15.2861881256104,-87.2664947509766,0.0,1.0,0.0
8.0,26.6075286865234,26.6075286865234,26.6075286865234,70.8607025146484,0.0,1.0,0.0
9.0,48.2623329162598,54.5648078918457,49.12810039520265,32.72940826416018,1.06,4.0,0.031
10.0,64.5753021240234,74.6005935668945,68.86338806152344,-87.2197494506836,-0.876,4.0,0.036
11.0,23.6482372283936,23.6482372283936,23.6482372283936,-88.2594451904297,0.0,1.0,0.0
12.0,51.7397537231445,56.0579643249512,54.0792490641276,85.19519551595054,0.634,3.0,0.027
13.0,11.1640195846558,11.1640195846558,11.1640195846558,-85.1179351806641,0.0,1.0,0.0
14.0,38.3125305175781,39.1499176025391,38.731224060058594,-78.54742431640625,0.599,2.0,0.011
15.0,13.731409072876,13.731409072876,13.731409072876,-69.6341705322266,0.0,1.0,0.0
16.0,52.7674789428711,51.2524833679199,52.0099811553955,-0.8424148559570526,1.974,2.0,-0.015
17.0,40.5493698120117,40.5493698120117,40.5493698120117,56.882568359375,0.0,1.0,0.0
18.0,17.561954498291,17.561954498291,17.561954498291,66.364990234375,0.0,1.0,0.0
19.0,32.7030181884766,54.0198783874512,48.041960000991835,24.596097946166992,-3.776,8.0,0.063
20.0,52.7172241210938,52.7172241210938,52.7172241210938,56.9566192626953,0.0,1.0,0.0
21.0,22.6412887573242,22.6412887573242,22.6412887573242,-85.3171081542969,0.0,1.0,0.0
22.0,33.5907363891602,52.823802947998,48.62386245727538,49.267700195312486,0.518,5.0,0.091
24.0,27.7704830169678,27.7704830169678,27.7704830169678,-80.6835784912109,0.0,1.0,0.0
25.0,36.834789276123,36.834789276123,36.834789276123,-75.1031799316406,0.0,1.0,0.0
26.0,17.1015548706055,17.1015548706055,17.1015548706055,-64.1788787841797,0.0,1.0,0.0
27.0,25.356050491333,25.356050491333,25.356050491333,59.9279327392578,0.0,1.0,0.0
28.0,10.609658241272,10.609658241272,10.609658241272,-82.47119140625,0.0,1.0,0.0
29.0,23.262996673584,31.5342330932617,29.845645904541023,-14.04511108398438,-0.288,5.0,0.061
30.0,15.8870515823364,15.8870515823364,15.8870515823364,85.2505340576172,0.0,1.0,0.0
31.0,45.5194473266602,60.1499862670898,45.237880229949965,-12.43203735351564,-2.95,8.0,0.035
33.0,19.002685546875,19.002685546875,19.002685546875,-60.0238952636719,0.0,1.0,0.0
34.0,39.3251686096191,71.4839172363281,47.06617641448971,-29.00134785970053,-5.398,6.0,0.1
35.0,17.1557998657227,17.1557998657227,17.1557998657227,-56.9662475585938,0.0,1.0,0.0
36.0,15.0890655517578,15.0890655517578,15.0890655517578,-76.5174102783203,0.0,1.0,0.0
37.0,40.2531356811523,60.370475769043,52.62629652023317,23.3554973602295,-0.155,8.0,0.051
38.0,18.3001880645752,85.1591720581055,50.92532253265381,34.907014846801786,-1.849,8.0,0.192
39.0,23.3692092895508,28.662841796875,26.194959640502923,-32.88724517822265,-2.613,4.0,0.051
40.0,9.7190408706665,9.7190408706665,9.7190408706665,86.6743469238281,0.0,1.0,0.0
41.0,36.7556610107422,65.2967834472656,54.70224838256836,-36.71832885742188,-4.693,5.0,0.115
42.0,48.3617248535156,73.9233169555664,60.50966567993164,-64.58089599609376,-2.577,5.0,0.085
43.0,33.3981323242188,33.3981323242188,33.3981323242188,-58.6273193359375,0.0,1.0,0.0
44.0,18.4040966033936,50.0469703674316,37.45362854003906,-36.5405731201172,-4.357,5.0,0.2
45.0,17.259370803833,17.259370803833,17.259370803833,-74.5940856933594,0.0,1.0,0.0
46.0,27.1350231170654,36.2203941345215,31.97771739959715,-78.09046173095706,-3.475,4.0,0.072
47.0,30.4233570098877,44.5182609558105,37.7344183921814,69.25314331054688,-5.772,4.0,0.095
48.0,31.0924282073975,34.6675605773926,32.991258144378676,65.3907585144043,-2.215,4.0,0.027
