CellNumber,GrowthRate,BirthLength,LifeHistory
1,0.0177507982807857,28,38
2,0.0174376171071288,26,45
3,0.0123255520642128,25,45
4,0.0112364279260293,44,3
5,0.0204886290746009,36,18
6,0,36,3
7,0.0123606234310746,32,23
8,0.0109412459375819,24,43
9,0.0141750670517027,41,15
10,0.0147228794570479,40,9
11,0.0146136971082439,26,37
12,0.0103588618306971,28,51
13,0.0117741540039316,23,48
14,0.0149354171413803,24,46
15,0.0123776282242847,20,57
16,0.0128952628113071,17,57
17,0.0114503838554266,22,51
18,0.0111923157587085,24,51
19,0.0129669286015367,26,45
20,0.0101064959377601,25,45
21,0.0177930445056298,27,42
22,0.0158218394631491,23,42
23,0.0104081513733725,22,37
24,0.0133843913025761,21,37
25,0.0109619116734949,22,23
26,0.0125569716649163,22,23
27,0.0153135059108315,29,22
28,0.019307862290865,26,22
29,0.00595688623777033,20,17
30,0.0146009281988441,19,17
31,0.0143336211044394,27,15
32,0.0110107628448041,30,15
33,0.0152552928784328,21,15
34,0.00875730872088089,23,15
35,0.00800427076735364,24,11
36,0.00800427076735364,24,11
37,0.0119137724755407,20,9
38,0.0183254342739845,19,9
39,0.00454595552135934,27,9
40,-0.00609877052117902,21,9
